,match_col
1224,Frederick County
1225,Garrett County
1226,Harford County
1227,Howard County
1228,Kent County
1229,Montgomery County
1230,Prince George's County
1231,Queen Anne's County
1232,St. Mary's County
1233,Somerset County
1234,Talbot County
1235,Washington County
1236,Wicomico County
1237,Worcester County
1238,Baltimore city
1239,Massachusetts
1240,Barnstable County
1241,Berkshire County
1242,Bristol County
1243,Dukes County
1244,Essex County
1245,Franklin County
1246,Hampden County
1247,Hampshire County
1248,Middlesex County
1249,Nantucket County
1250,Norfolk County
1251,Plymouth County
1252,Suffolk County
1253,Worcester County
1254,Michigan
1255,Alcona County
1256,Alger County
1257,Allegan County
1258,Alpena County
1259,Antrim County
1260,Arenac County
1261,Baraga County
1262,Barry County
1263,Bay County
1264,Benzie County
1265,Berrien County
1266,Branch County
1267,Calhoun County
1268,Cass County
1269,Charlevoix County
1270,Cheboygan County
1271,Chippewa County
1272,Clare County
1273,Clinton County
1274,Crawford County
1275,Delta County
1276,Dickinson County
1277,Eaton County
1278,Emmet County
1279,Genesee County
1280,Gladwin County
1281,Gogebic County
1282,Grand Traverse County
1283,Gratiot County
1284,Hillsdale County
1285,Houghton County
1286,Huron County
1287,Ingham County
1288,Ionia County
1289,Iosco County
1290,Iron County
1291,Isabella County
1292,Jackson County
1293,Kalamazoo County
1294,Kalkaska County
1295,Kent County
1296,Keweenaw County
1297,Lake County
1298,Lapeer County
1299,Leelanau County
1300,Lenawee County
1301,Livingston County
1302,Luce County
1303,Mackinac County
1304,Macomb County
1305,Manistee County
1306,Marquette County
1307,Mason County
1308,Mecosta County
1309,Menominee County
1310,Midland County
1311,Missaukee County
1312,Monroe County
1313,Montcalm County
1314,Montmorency County
1315,Muskegon County
1316,Newaygo County
1317,Oakland County
1318,Oceana County
1319,Ogemaw County
1320,Ontonagon County
1321,Osceola County
1322,Oscoda County
1323,Otsego County
1324,Ottawa County
1325,Presque Isle County
1326,Roscommon County
1327,Saginaw County
1328,St. Clair County
1329,St. Joseph County
1330,Sanilac County
1331,Schoolcraft County
1332,Shiawassee County
1333,Tuscola County
1334,Van Buren County
1335,Washtenaw County
1336,Wayne County
1337,Wexford County
1338,Minnesota
1339,Aitkin County
1340,Anoka County
1341,Becker County
1342,Beltrami County
1343,Benton County
1344,Big Stone County
1345,Blue Earth County
1346,Brown County
1347,Carlton County
1348,Carver County
1349,Cass County
1350,Chippewa County
1351,Chisago County
1352,Clay County
1353,Clearwater County
1354,Cook County
1355,Cottonwood County
1356,Crow Wing County
1357,Dakota County
1358,Dodge County
1359,Douglas County
1360,Faribault County
1361,Fillmore County
1362,Freeborn County
1363,Goodhue County
1364,Grant County
1365,Hennepin County
1366,Houston County
1367,Hubbard County
1368,Isanti County
1369,Itasca County
1370,Jackson County
1371,Kanabec County
1372,Kandiyohi County
1373,Kittson County
1374,Koochiching County
1375,Lac qui Parle County
1376,Lake County
1377,Lake of the Woods County
1378,Le Sueur County
1379,Lincoln County
1380,Lyon County
1381,McLeod County
1382,Mahnomen County
1383,Marshall County
1384,Martin County
1385,Meeker County
1386,Mille Lacs County
1387,Morrison County
1388,Mower County
1389,Murray County
1390,Nicollet County
1391,Nobles County
1392,Norman County
1393,Olmsted County
1394,Otter Tail County
1395,Pennington County
1396,Pine County
1397,Pipestone County
1398,Polk County
1399,Pope County
1400,Ramsey County
1401,Red Lake County
1402,Redwood County
1403,Renville County
1404,Rice County
1405,Rock County
1406,Roseau County
1407,St. Louis County
1408,Scott County
1409,Sherburne County
1410,Sibley County
1411,Stearns County
1412,Steele County
1413,Stevens County
1414,Swift County
1415,Todd County
1416,Traverse County
1417,Wabasha County
1418,Wadena County
1419,Waseca County
1420,Washington County
1421,Watonwan County
1422,Wilkin County
1423,Winona County
1424,Wright County
1425,Yellow Medicine County
1426,Mississippi
1427,Adams County
1428,Alcorn County
1429,Amite County
1430,Attala County
1431,Benton County
1432,Bolivar County
1433,Calhoun County
1434,Carroll County
1435,Chickasaw County
1436,Choctaw County
1437,Claiborne County
1438,Clarke County
1439,Clay County
1440,Coahoma County
1441,Copiah County
1442,Covington County
1443,DeSoto County
1444,Forrest County
1445,Franklin County
1446,George County
1447,Greene County
1448,Grenada County
1449,Hancock County
1450,Harrison County
1451,Hinds County
1452,Holmes County
1453,Humphreys County
1454,Issaquena County
1455,Itawamba County
1456,Jackson County
1457,Jasper County
1458,Jefferson County
1459,Jefferson Davis County
1460,Jones County
1461,Kemper County
1462,Lafayette County
1463,Lamar County
1464,Lauderdale County
1465,Lawrence County
1466,Leake County
1467,Lee County
1468,Leflore County
1469,Lincoln County
1470,Lowndes County
1471,Madison County
1472,Marion County
1473,Marshall County
1474,Monroe County
1475,Montgomery County
1476,Neshoba County
1477,Newton County
1478,Noxubee County
1479,Oktibbeha County
1480,Panola County
1481,Pearl River County
1482,Perry County
1483,Pike County
1484,Pontotoc County
1485,Prentiss County
1486,Quitman County
1487,Rankin County
1488,Scott County
1489,Sharkey County
1490,Simpson County
1491,Smith County
1492,Stone County
1493,Sunflower County
1494,Tallahatchie County
1495,Tate County
1496,Tippah County
1497,Tishomingo County
1498,Tunica County
1499,Union County
1500,Walthall County
1501,Warren County
1502,Washington County
1503,Wayne County
1504,Webster County
1505,Wilkinson County
1506,Winston County
1507,Yalobusha County
1508,Yazoo County
1509,Missouri
1510,Adair County
1511,Andrew County
1512,Atchison County
1513,Audrain County
1514,Barry County
1515,Barton County
1516,Bates County
1517,Benton County
1518,Bollinger County
1519,Boone County
1520,Buchanan County
1521,Butler County
1522,Caldwell County
1523,Callaway County
1524,Camden County
1525,Cape Girardeau County
1526,Carroll County
1527,Carter County
1528,Cass County
1529,Cedar County
1530,Chariton County
1531,Christian County
1532,Clark County
1533,Clay County
1534,Clinton County
1535,Cole County
1536,Cooper County
1537,Crawford County
1538,Dade County
1539,Dallas County
1540,Daviess County
1541,DeKalb County
1542,Dent County
1543,Douglas County
1544,Dunklin County
1545,Franklin County
1546,Gasconade County
1547,Gentry County
1548,Greene County
1549,Grundy County
1550,Harrison County
1551,Henry County
1552,Hickory County
1553,Holt County
1554,Howard County
1555,Howell County
1556,Iron County
1557,Jackson County
1558,Jasper County
1559,Jefferson County
1560,Johnson County
1561,Knox County
1562,Laclede County
1563,Lafayette County
1564,Lawrence County
1565,Lewis County
1566,Lincoln County
1567,Linn County
1568,Livingston County
1569,McDonald County
1570,Macon County
1571,Madison County
1572,Maries County
1573,Marion County
1574,Mercer County
1575,Miller County
1576,Mississippi County
1577,Moniteau County
1578,Monroe County
1579,Montgomery County
1580,Morgan County
1581,New Madrid County
1582,Newton County
1583,Nodaway County
1584,Oregon County
1585,Osage County
1586,Ozark County
1587,Pemiscot County
1588,Perry County
1589,Pettis County
1590,Phelps County
1591,Pike County
1592,Platte County
1593,Polk County
1594,Pulaski County
1595,Putnam County
1596,Ralls County
1597,Randolph County
1598,Ray County
1599,Reynolds County
1600,Ripley County
1601,St. Charles County
1602,St. Clair County
1603,Ste. Genevieve County
1604,St. Francois County
1605,St. Louis County
1606,Saline County
1607,Schuyler County
1608,Scotland County
1609,Scott County
1610,Shannon County
1611,Shelby County
1612,Stoddard County
1613,Stone County
1614,Sullivan County
1615,Taney County
1616,Texas County
