,Lat,Long_,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases
1457,41.3339642,-84.06830637,5335004.0,26190.0,252.0,112.0,2098.0,27006.0,67.8,4062.0,10479.0,27.51286914115416,70.97670008127879,2575.0
1458,39.1839264,-83.60331456,5335004.0,41367.0,686.0,152.0,552.0,43161.0,78.8,3799.0,15678.0,19.30778613539337,79.6808294368774,3427.0
1459,39.49537927,-82.47991446,5335004.0,27402.0,240.0,86.0,322.0,28264.0,69.7,3880.0,9737.0,28.067129629629623,70.43547453703704,2050.0
1460,40.56163713,-81.92635677,5335004.0,43334.0,254.0,48.0,452.0,43960.0,100.3,1994.0,10796.0,15.401251255117016,83.38611261296053,2489.0
1461,41.14651175,-82.59867951,5335004.0,55996.0,950.0,188.0,4021.0,58266.0,121.3,7759.0,18956.0,28.536226553880105,69.71680764987127,5147.0
1462,39.01914254,-82.6181856,5335004.0,31375.0,264.0,96.0,355.0,32413.0,79.0,3311.0,11309.0,22.3806948763012,76.44315262944437,3015.0
1463,40.38614126,-80.76259514,5335004.0,59734.0,3528.0,272.0,1073.0,65325.0,170.7,10018.0,22828.0,30.0281757688388,68.42515436724416,5085.0
1464,40.39830217,-82.42027563,5335004.0,60232.0,660.0,322.0,978.0,62322.0,115.9,8589.0,22340.0,27.35524555704185,71.15102872794445,4243.0
1465,41.69710807,-81.23676539,5335004.0,210912.0,10382.0,3218.0,10788.0,230149.0,1011.2,55514.0,73278.0,42.53653004773617,56.14785187228467,19288.0
1466,38.59743452,-82.53466552,5335004.0,56786.0,1404.0,230.0,594.0,59463.0,137.7,7489.0,20306.0,26.625662175134213,72.19397731716856,5392.0
1467,40.09136236,-82.48185785,5335004.0,160558.0,7630.0,3804.0,3674.0,176862.0,243.9,33055.0,59514.0,35.086508863178004,63.17163783037895,15740.0
1468,40.38996525,-83.76784341,5335004.0,43265.0,886.0,282.0,938.0,45672.0,100.0,5055.0,17964.0,21.63214652516261,76.87435809654228,3672.0
